PinNum,Shrt_Desc,Trans_Fat,Water,Calories,Protein,Total Fat,Carbohydrt,Fiber_TD,Ash,Calcium,Phosphorus,Iron,Sodium,Potassium,Magnesium,Zinc,Copper,Manganese,Selenium,Vit_A,Vit_E,Thiamin,Riboflavin,Niacin,Panto_acid,Vit_B6,Folate,Vit_B12,Vit_C,FA_Sat,FA_Mono,FA_Poly,Cholestrl,GmWt_1,GmWt_Desc1,GmWt_2,GmWt_Desc2,Refuse_Pct,WaterAmount,AlcoholContent,FlavorContent,Added_Sugars,Sugars,Vitamin D,Sugar Alcohols
676, Black Pepper Powder,0,8,398,10,10.2,66.5,10,0,400,160,17,10,1.2,0,0,0,0,0,190,0,70,210,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
677,Red Pepper Powder,0,14.4,375,13.1,11.8,54,35,6.9,200,0,11.8,129.4,0,0,0,0,0,0,21000,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,,,,
678, White Pepper Powder,0,11.42,335,10.4,2.12,68.61,26.2,1.59,265,176,14.31,5,73,90,1.13,0.91,4.3,3.1,0,0,0.022,0.126,0.212,0,0.1,10,0,21,0.626,0.789,0.616,0,0,0,0,0,0,0,0,0,,,,
692,Pineapple Juice Conc. 65 Brix,0,36.9,270,1.95,0.16,67,0.46,0,58.5,41.2,1.36,4.55,709.3,0,0,0,0,0,74.7,0,0.35,0.09,1.36,0,0,0,0,62.8,0.01,0,0,0,0,0,0,0,0,0,0,0,,,,
695,Potassium Sorbate,0,0.1,3,0,0,0,0,0,0,0,0,0,28000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
696, L-Proline,0,3,400,100,0,0,0,0,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
703,Non Nutritional chemicals,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,,,,
704, PRUNE JUICE CONCENTRATE,0,0,279,1.1,0.2,67,2.2,0,0,0,0,0.05,0,0,0,0.0005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
713, Red #40 Granular,0,8,0,0,0,0,0,0,0,0,0,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
727, Rum Ether,0,11.4,276,0,0,21.9,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.8999996,0,,,,
732, Salt,0,0.1,0,0,0,0,0,99.9,30,0,0.05,39300,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
733,Flour Salt,0,0.1,0,0,0,0,0,99.9,525,0,3,38800,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
741,Sherry Flavor,0,84,58,2,0,12.5,0,1.5,60,0,0,445,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,2.9,,
742, Shrimp Extract Powder 430-50-13,0,0,136,19.59,6.41,0,1.08,0,757,0,15.3,10400,0,0,0,0,0,0,310,0,0,0,0,0,0,0,0,6.84,2.04,0,0,130,0,0,0,0,0,0,0,0,,,,
743, Silica Flo Gard SP,0,7,0,0,0,0,0,93,65,0,50,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
745, Charsol c-6,0,68,52,0,2,1,0,0.2,6.2,0.1,0.1,1.3,1,1.9,0.1,0.1,0,0.1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,,
746, Smoke CharOil Hickory,9.4,1.9,891,0,99,0,0,0,0.03,0.5,0.009,0.52,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,15,36,48,0,0,0,0,0,0,0,0,0,,,,
749, Solu Smoke Special Mesquite,0,20,414,0,11,5,0,0,1.7,0.09,0.09,1500,2.5,1,0.09,0.09,0,0.09,0,0,0,0,0,0,0,0,0,0,0.9,0,0,0,0,0,0,0,0,0,0,0,0,,,
750, Sodium Benzoate,0,0,0,0,0,0,0,0,0,0,0,15860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
752,Sodium Citrate,0,1,181,0,0,0,0,0,2.7,0,0.8,2.67,125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
753, Sodium Diacetate,0,0,0,0,0,0,0,100,0,0,0,16.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
758,Soybean Oil,1.5,0,884,0,100,0,0,0,0.04,0.25,0.02,0,0,0.03,0,0,0,0,0,93.7,0,0,0,0,0,0,0,0,14.4,23.3,57.9,0,0,0,0,0,0,0,0,0,0,,,
763, Spinach Powder,0,5,323,32.3,3.95,39.5,10,19.4,1117,0,30.6,891,0,0,0,0,0,0,75745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
771, SAINT JOHNS BREAD SOLID EXTRACT Roasted,0,25,300,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
772, Coyote Stablizieer HL Gum,0,8,244,0,0,61,77,0,230,0,0,3100,6000,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
782, Sugar,0,0.05,400,0,0,99.9,0,0.04,1,0,0,0.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,
783,Confectioners 6X Sugar,0,0,398,0,0,99.6,0,0,1,0,0,1.5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.9,0,
796, Chicken Broth Flavor 8172,0,0,378,31.26,10.5,39.5,0,18.75,20.3,0,0,5900,0,0,0,0,0,0,86.59,0,0,0,0,0,0,0,0,3.87,0,0,0,9.53,0,0,0,0,0,0,0,0,,,,
797, Savorome 32201,0,4,309,30,0.5,46,0,0,99,0,1.2,8664,1332,0,0,0,0,0,214,0,0,0,0,0,0,0,0,0,0.12,0.38,0,0,0,0,0,0,0,0,0,0,,,,
803, Soy Sauce Powder Shoyu,0,4.9,246,16.3,0.002,45.1,0,36.6,84,0,2,13400,1180,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0.49,0,0.002,0,0,0,0,0,0,0,0,0,0,,,,
825, Thyme Powder,0,7.79,359,9.11,7.43,63.94,37,11.74,1890,201,123.6,55,814,220,6.18,0.86,7.867,4.6,3800,0,0.513,0.399,4.94,0,0.55,0,0,50,2.73,0.47,1.19,0,0,0,0,0,0,0,0,0,,,,
829, Triacetin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,,,
832, Tuna Extract Powder,0,4,252,34.4,0,29.4,0,21.38,0,0,0,10.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
833, Turmeric Oleoresin  12-085-01,2,0.5,582,0,38,60,0,0.5,0,0,3,19,0,0,0,0,0,0,383,0,0,0,0,0,0,0,0,0,6,22,10,0,0,0,0,0,0,0,0,0,,,,
845,Valerian Root SE,0,25,300,0,0,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
