flavor,orders since 2010,quantity since 2010,orders since 2007,quantity since 2007
140132,0,0,1,2
120338,7,32,9,36
21045,1,50,1,50
130140,49,986,100,1625
130631,1,300,2,308
150099,2,14,3,15
130633,1,25,1,25
130149,17,76,45,220
130639,5,310,8,720
140737,1,2,2,10
130384,3,12,7,22
140735,0,0,1,8
140734,0,0,1,20
140733,0,0,1,20
140732,0,0,1,7
140731,3,37,5,41
140730,39,195,48,215
140739,1,16,2,32
140738,5,40,7,56
150057,10,80,13,104
10910,4,8,13,26
140220,8,16,11,48
140917,2,120,2,120
140914,4,26,4,26
140912,2,10,2,10
140823,2,28,2,28
140821,3,310,3,310
140820,12,114,12,114
140350,2,8,6,24
140824,2,245,2,245
140829,3,120,3,120
140828,3,120,3,120
140358,0,0,1,8
120804,4,8,7,26
10481,140,4162,298,6696.75
10483,43,147,74,253
10485,423,2422,868,4787
10486,7,26,27,114
10464,18,1232,23,1320
110874,0,0,1,2
170189,0,0,1,8
8910,0,0,1,2
11190,97,2583,189,5813
130546,16,328,27,528
180080,3,360,7,855
160119,1,2,2,10
160118,4,48,7,112
130541,1,8,2,16
160112,3,21,12,515
160115,2,4,5,10
160114,0,0,1,8
160117,3,6,6,12
160116,17,57,31,129
170567,3,48,3,48
111138,9,21,30,70
111133,4,98,9,177
111137,16,124,22,176
110669,18,146.5,27,166.5
111246,0,0,4,26.5
111240,3,12,6,28
180076,4,1770,6,1930
180077,5,322,7,592
180072,5,751.2,6,947.2
170194,2,16,3,19.2
170195,3,24,4,31.2
170196,11,112,15,144
170197,0,0,2,16
170190,1,2,2,4
170191,0,0,1,7
170192,2,10,3,18
110710,28,126,42,206
170199,0,0,1,8
110861,1,200,12,1857.6
170578,1,32,1,32
170579,2,32,2,32
180092,2,80,3,120
180093,2,80,3,120
180090,2,80,3,120
170570,1,8,1,8
140706,0,0,2,200
11214,26,592,53,1368
11215,27,1008,60,2380
140034,3,23,8,61
11219,1,2,2,7
170371,5,40,5,40
170375,1,30,1,30
170376,6,1200,6,1200
170377,6,83,6,83
170378,1,50,1,50
170406,1,48,1,48
170407,11,51.45,11,51.45
170405,2,15,2,15
110288,10,62,24,167
170248,1,8,2,48
110282,6,24,17,68
